Assembly,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
GCA_013399095.1,Psophia crepitans (common trumpeter),Psophia crepitans,42,7/10/20 0:00,B10K Consortium,58160,468890,SAMN12253810,GCA_013399095.1,NA,Illumina HiSeq,no
GCA_013397535.1,Pterocles burchelli (birds),Pterocles burchelli,74,7/10/20 0:00,B10K Consortium,43196,594480,SAMN12253932,GCA_013397535.1,NA,Illumina HiSeq,no
GCA_013401235.1,Pteruthius melanotis (birds),Pteruthius melanotis,52,7/10/20 0:00,B10K Consortium,34184,1869218,SAMN12253969,GCA_013401235.1,NA,Illumina HiSeq,no
GCA_013397565.1,Ptilonorhynchus violaceus (satin bowerbird),Ptilonorhynchus violaceus,46,7/10/20 0:00,B10K Consortium,120946,1215016,SAMN12253905,GCA_013397565.1,NA,Illumina HiSeq,no
GCA_013396485.1,Ptilorrhoa leucosticta (birds),Ptilorrhoa leucosticta,66,7/10/20 0:00,B10K Consortium,77643,1205068,SAMN12253757,GCA_013396485.1,NA,Illumina HiSeq,no
GCA_013400435.1,Pycnonotus jocosus (red-whiskered bulbul),Pycnonotus jocosus,48,7/10/20 0:00,B10K Consortium,53855,218123,SAMN12253855,GCA_013400435.1,NA,Illumina HiSeq,no
GCA_013399035.1,Quiscalus mexicanus (Great-tailed grackle),Quiscalus mexicanus,54,7/10/20 0:00,B10K Consortium,60532,93215,SAMN12253789,GCA_013399035.1,NA,Illumina HiSeq,no
GCA_013399055.1,Ramphastos sulfuratus (birds),Ramphastos sulfuratus,76,7/10/20 0:00,B10K Consortium,38620,85980,SAMN12253788,GCA_013399055.1,NA,Illumina HiSeq,no
GCA_013396955.1,Regulus satrapa (golden-crowned kinglet),Regulus satrapa,50,7/10/20 0:00,B10K Consortium,28936,363229,SAMN12253776,GCA_013396955.1,NA,Illumina HiSeq,no
GCA_013397075.1,Rhabdornis inornatus (birds),Rhabdornis inornatus,50,7/10/20 0:00,B10K Consortium,152176,1047454,SAMN12253787,GCA_013397075.1,NA,Illumina HiSeq,no
GCA_013400275.1,Rhadina sibilatrix (birds),Rhadina sibilatrix,50,7/10/20 0:00,B10K Consortium,38753,335188,SAMN12253847,GCA_013400275.1,NA,Illumina HiSeq,no
GCA_013397725.1,Rhagologus leucostigma (birds),Rhagologus leucostigma,49,7/10/20 0:00,B10K Consortium,141346,1441581,SAMN12253942,GCA_013397725.1,NA,Illumina HiSeq,no
GCA_013398505.1,Rhegmatorhina hoffmannsi (white-breasted antbird),Rhegmatorhina hoffmannsi,151,7/10/20 0:00,B10K Consortium,73812,11805716,SAMN12253983,GCA_013398505.1,NA,Illumina HiSeq,no
GCA_013400115.1,Rhinopomastus cyanomelas (common scimitar-bill),Rhinopomastus cyanomelas,51,7/10/20 0:00,B10K Consortium,114804,415862,SAMN12253851,GCA_013400115.1,NA,Illumina HiSeq,no
GCA_013400135.1,Rhinoptilus africanus (double-banded courser),Rhinoptilus africanus,39,7/10/20 0:00,B10K Consortium,52916,382637,SAMN12253852,GCA_013400135.1,NA,Illumina HiSeq,no
GCA_013399225.1,Rhipidura dahli (birds),Rhipidura dahli,49,7/10/20 0:00,B10K Consortium,98056,789307,SAMN12253805,GCA_013399225.1,NA,Illumina HiSeq,no
GCA_013396575.1,Rhodinocichla rosea (birds),Rhodinocichla rosea,67,7/10/20 0:00,B10K Consortium,29643,2545584,SAMN12253755,GCA_013396575.1,NA,Illumina HiSeq,no
GCA_013398095.1,Rhynochetos jubatus (kagu),Rhynochetos jubatus,49,7/10/20 0:00,B10K Consortium,91152,965071,SAMN12253954,GCA_013398095.1,NA,Illumina HiSeq,no
GCA_013401015.1,Rissa tridactyla (black-legged kittiwake),Rissa tridactyla,110,7/10/20 0:00,B10K Consortium,54641,17652270,SAMN12253991,GCA_013401015.1,NA,Illumina HiSeq,no
GCA_013399305.1,Rostratula benghalensis (greater painted-snipe),Rostratula benghalensis,67,7/10/20 0:00,B10K Consortium,78725,3398382,SAMN12253888,GCA_013399305.1,NA,Illumina HiSeq,no
GCA_013400035.1,Rynchops niger (black skimmer),Rynchops niger,39,7/10/20 0:00,B10K Consortium,57549,523074,SAMN12253840,GCA_013400035.1,NA,Illumina HiSeq,no
GCA_013399415.1,Sagittarius serpentarius (hawks & eagles),Sagittarius serpentarius,39,7/10/20 0:00,B10K Consortium,36754,129671,SAMN12253901,GCA_013399415.1,NA,Illumina HiSeq,no
GCA_013396695.1,Sakesphorus luctuosus (birds),Sakesphorus luctuosus,45,7/10/20 0:00,B10K Consortium,84116,564384,SAMN12253769,GCA_013396695.1,NA,Illumina HiSeq,no
GCA_013398745.1,Sapayoa aenigma (broad-billed sapayoa),Sapayoa aenigma,94,7/10/20 0:00,B10K Consortium,60157,363559,SAMN12253965,GCA_013398745.1,NA,Illumina HiSeq,no
GCA_013396755.1,Sclerurus mexicanus (tawny-throated leaftosser),Sclerurus mexicanus,46,7/10/20 0:00,B10K Consortium,128486,1030170,SAMN12253767,GCA_013396755.1,NA,Illumina HiSeq,no
GCA_013400535.1,Scopus umbretta (hamerkop),Scopus umbretta,54,7/10/20 0:00,B10K Consortium,16158,32357,SAMN12253872,GCA_013400535.1,NA,Illumina HiSeq,no
GCA_013400415.1,Scytalopus superciliaris (birds),Scytalopus superciliaris,43,7/10/20 0:00,B10K Consortium,60031,632025,SAMN12253857,GCA_013400415.1,NA,Illumina HiSeq,no
GCA_013399775.1,Semnornis frantzii (birds),Semnornis frantzii,46,7/10/20 0:00,B10K Consortium,8608,16361,SAMN12253798,GCA_013399775.1,NA,Illumina HiSeq,no
GCA_013399895.1,Serilophus lunatus (silver-breasted broadbill),Serilophus lunatus,49,7/10/20 0:00,B10K Consortium,89885,848514,SAMN12253830,GCA_013399895.1,NA,Illumina HiSeq,no
GCA_013399655.1,Setophaga kirtlandii (Kirtland's warbler),Setophaga kirtlandii,44,7/10/20 0:00,B10K Consortium,77437,583164,SAMN12253801,GCA_013399655.1,NA,Illumina HiSeq,no
GCA_013400255.1,Sitta europaea (wood nuthatch),Sitta europaea,51,7/10/20 0:00,B10K Consortium,79571,660828,SAMN12253846,GCA_013400255.1,NA,Illumina HiSeq,no
GCA_013396465.1,Smithornis capensis (birds),Smithornis capensis,68,7/10/20 0:00,B10K Consortium,67220,1785105,SAMN12253759,GCA_013396465.1,NA,Illumina HiSeq,no
GCA_013398795.1,Spelaeornis formosus (spotted wren-babbler),Spelaeornis formosus,65,7/10/20 0:00,B10K Consortium,43159,1152566,SAMN12253967,GCA_013398795.1,NA,Illumina HiSeq,no
GCA_013399215.1,Spizaetus tyrannus (black hawk-eagle),Spizaetus tyrannus,57,7/10/20 0:00,B10K Consortium,72446,1501215,SAMN12253891,GCA_013399215.1,NA,Illumina HiSeq,no
GCA_013401375.1,Spizella passerina (chipping sparrow),Spizella passerina,71,7/10/20 0:00,B10K Consortium,9017,13068,SAMN12253929,GCA_013401375.1,NA,Illumina HiSeq,no
GCA_013398225.1,Steatornis caripensis (oilbird),Steatornis caripensis,57,7/10/20 0:00,B10K Consortium,38015,306642,SAMN12253980,GCA_013398225.1,NA,Illumina HiSeq,no
GCA_013396915.1,Stercorarius parasiticus (birds),Stercorarius parasiticus,36,7/10/20 0:00,B10K Consortium,107045,644604,SAMN12253778,GCA_013396915.1,NA,Illumina HiSeq,no
GCA_013397095.1,Sterrhoptilus dennistouni (birds),Sterrhoptilus dennistouni,46,7/10/20 0:00,B10K Consortium,50778,955539,SAMN12253785,GCA_013397095.1,NA,Illumina HiSeq,no
GCA_013397865.1,Struthidea cinerea (birds),Struthidea cinerea,45,7/10/20 0:00,B10K Consortium,74270,1098961,SAMN12253937,GCA_013397865.1,NA,Illumina HiSeq,no
GCA_013398435.1,Sylvia atricapilla (blackcap),Sylvia atricapilla,283,7/10/20 0:00,B10K Consortium,57175,16014248,SAMN12253985,GCA_013398435.1,NA,Illumina HiSeq,no
GCA_013400015.1,Sylvia borin (garden warbler),Sylvia borin,48,7/10/20 0:00,B10K Consortium,55510,729727,SAMN12253842,GCA_013400015.1,NA,Illumina HiSeq,no
GCA_013399515.1,Sylvietta virens (Green crombec),Sylvietta virens,55,7/10/20 0:00,B10K Consortium,33668,2514434,SAMN12253897,GCA_013399515.1,NA,Illumina HiSeq,no
GCA_013400615.1,Syrrhaptes paradoxus (Pallas's sandgrouse),Syrrhaptes paradoxus,65,7/10/20 0:00,B10K Consortium,33027,83867,SAMN12253880,GCA_013400615.1,NA,Illumina HiSeq,no
GCA_013396555.1,Tachuris rubrigastra (birds),Tachuris rubrigastra,57,7/10/20 0:00,B10K Consortium,66111,2761092,SAMN12253756,GCA_013396555.1,NA,Illumina HiSeq,no
GCA_013400895.1,Thalassarche chlororhynchos (Atlantic yellow-nosed albatross),Thalassarche chlororhynchos,45,7/10/20 0:00,B10K Consortium,23404,47773,SAMN12253934,GCA_013400895.1,NA,Illumina HiSeq,no
GCA_013400375.1,Thinocorus orbignyianus (birds),Thinocorus orbignyianus,40,7/10/20 0:00,B10K Consortium,75634,845400,SAMN12253858,GCA_013400375.1,NA,Illumina HiSeq,no
GCA_013397245.1,Thryothorus ludovicianus (Carolina wren),Thryothorus ludovicianus,46,7/10/20 0:00,B10K Consortium,60402,495202,SAMN12253818,GCA_013397245.1,NA,Illumina HiSeq,no
GCA_013397375.1,Toxostoma redivivum (birds),Toxostoma redivivum,50,7/10/20 0:00,B10K Consortium,88070,747747,SAMN12253839,GCA_013397375.1,NA,Illumina HiSeq,no
GCA_013400475.1,Tricholaema leucomelas (pied barbet),Tricholaema leucomelas,76,7/10/20 0:00,B10K Consortium,77267,294019,SAMN12253853,GCA_013400475.1,NA,Illumina HiSeq,no
GCA_013399275.1,Trogon melanurus (black-tailed trogon),Trogon melanurus,69,7/10/20 0:00,B10K Consortium,51448,600933,SAMN12253890,GCA_013399275.1,NA,Illumina HiSeq,no
GCA_013400935.1,Turnix velox (Little buttonquail),Turnix velox,52,7/10/20 0:00,B10K Consortium,44031,151069,SAMN12253947,GCA_013400935.1,NA,Illumina HiSeq,no
GCA_013399735.1,Tyrannus savana (Fork-tailed flycatcher),Tyrannus savana,47,7/10/20 0:00,B10K Consortium,72317,436182,SAMN12253795,GCA_013399735.1,NA,Illumina HiSeq,no
GCA_013397515.1,Upupa epops (Eurasian hoopoe),Upupa epops,49,7/10/20 0:00,B10K Consortium,49406,227838,SAMN12253908,GCA_013397515.1,NA,Illumina HiSeq,no
GCA_013401055.1,Uria aalge (common murre),Uria aalge,95,7/10/20 0:00,B10K Consortium,23216,11658233,SAMN12253989,GCA_013401055.1,NA,Illumina HiSeq,no
GCA_013401255.1,Urocolius indicus (birds),Urocolius indicus,89,7/10/20 0:00,B10K Consortium,94415,261726,SAMN12253966,GCA_013401255.1,NA,Illumina HiSeq,no
GCA_013397555.1,Urocynchramus pylzowi (birds),Urocynchramus pylzowi,59,7/10/20 0:00,B10K Consortium,53989,858275,SAMN12253909,GCA_013397555.1,NA,Illumina HiSeq,no
GCA_013398495.1,Vidua chalybeata (birds),Vidua chalybeata,81,7/10/20 0:00,B10K Consortium,387567,916466,SAMN12254000,GCA_013398495.1,NA,ILLUMINA; PACBIO_SMRT,yes
GCA_013400395.1,Vidua macroura (birds),Vidua macroura,47,7/10/20 0:00,B10K Consortium,37790,170489,SAMN12253861,GCA_013400395.1,NA,Illumina HiSeq,no
GCA_013396875.1,Vireo altiloquus (black-whiskered vireo),Vireo altiloquus,47,7/10/20 0:00,B10K Consortium,121572,668056,SAMN12253780,GCA_013396875.1,NA,Illumina HiSeq,no
GCA_013401175.1,Xiphorhynchus elegans (elegant woodcreeper),Xiphorhynchus elegans,79,7/10/20 0:00,B10K Consortium,62223,172271,SAMN12254008,GCA_013401175.1,NA,10X Genomics linked reads,no
GCA_013400835.1,Zapornia atra (birds),Zapornia atra,45,7/10/20 0:00,B10K Consortium,44130,134191,SAMN12253903,GCA_013400835.1,NA,Illumina HiSeq,no
GCA_013399795.1,Zosterops hypoxanthus (birds),Zosterops hypoxanthus,47,7/10/20 0:00,B10K Consortium,48044,306037,SAMN12253794,GCA_013399795.1,NA,Illumina HiSeq,no
GCA_013407035.1,Corvus monedula (jackdaw),Corvus monedula,64,7/13/20 0:00,Univerisity of Munich,23262489,73777161,SAMN14646012,GCA_013407035.1,NA,PacBio; Hi-C,yes
GCA_013433245.1,Ara glaucogularis (Blue-throated macaw),Ara glaucogularis,150,7/21/20 0:00,Texas A&M University,11243935,63877199,SAMN15376960,GCA_013433245.1,NA,Illumina NovaSeq; Oxford Nanopore GridION; BioNano Optical Mapping,yes
GCA_900496995.3,Aquila chrysaetos chrysaetos (golden eagle),Aquila chrysaetos,60,7/31/20 0:00,SC,21924221,46934974,SAMEA994725,GCA_900496995.3,NA,NA,NA
GCA_014362705.1,Columba janthina nitens (Japanese wood-pigeon),Columba janthina,60,8/22/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",109998,187831,SAMD00237431,GCA_014362705.1,NA,Illumina Novaseq6000,no
GCA_014363025.1,Corvus macrorhynchos (Large-billed crow),Corvus macrorhynchos,58,8/22/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",52265,133802,SAMD00237434,GCA_014363025.1,NA,Illumina Novaseq6000,no
GCA_014362685.1,Cygnus cygnus (common whooper),Cygnus cygnus,57,8/22/20 0:00,"Environmental Genomics Office, Center for Environmental Biology and Ecosystem Studies, National Institute for Environmental Studies",25015,71936,SAMD00237433,GCA_014362685.1,NA,Illumina Novaseq6000,no
GCA_014363165.1,Fratercula cirrhata (birds),Fratercula cirrhata,85,8/22/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",19680,54950,SAMD00237436,GCA_014363165.1,NA,Illumina Novaseq6000,no
GCA_014363185.1,Haliaeetus pelagicus (Steller's sea-eagle),Haliaeetus pelagicus,49,8/22/20 0:00,"Environmental Genomics Office, Center for Environmental Biology and Ecosystem Studies, National Institute for Environmental Studies",86631,179278,SAMD00237430,GCA_014363185.1,NA,Illumina Novaseq6000,no
GCA_014363365.1,Leucopsar rothschildi (Bali myna),Leucopsar rothschildi,93,8/22/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",104200,220241,SAMD00237439,GCA_014363365.1,NA,Illumina Novaseq6000,no
GCA_014363385.1,Phoebastria albatrus (birds),Phoebastria albatrus,80,8/22/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",43134,87989,SAMD00237437,GCA_014363385.1,NA,Illumina Novaseq6000,no
GCA_014363425.1,Uria aalge inornata (common murre),Uria aalge,74,8/22/20 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",19433,39335,SAMD00237438,GCA_014363425.1,NA,Illumina Novaseq6000,no
GCA_000332375.2,Amazona vittata (Puerto Rican parrot),Amazona vittata,13,8/28/20 0:00,Puerto Rican Parrot Genome Project,29306,101034,SAMN02981494,GCA_000332375.2,NA,Illumina HiSeq,no
GCA_014549065.1,Cardinalis cardinalis (northern cardinal),Cardinalis cardinalis,59,9/15/20 0:00,Harvard University,133919,3635514,SAMN15394674,GCA_014549065.1,NA,Illumina HiSeq,no
GCA_014595935.1,Numida meleagris (helmeted guineafowl),Numida meleagris,1,9/15/20 0:00,"Kunming Institute of Zoology, Chinese Academy of Sciences",14170429,98083000,SAMN15246817,GCA_014595935.1,NA,PacBio Sequel,yes
GCA_014706015.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,7452883,74168823,SAMN15881074,GCA_014706015.1,NA,PacBio RSII,yes
GCA_014706025.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,6294665,69066023,SAMN15881073,GCA_014706025.1,NA,PacBio RSII,yes
GCA_014706035.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,6294665,8009555,SAMN15881072,GCA_014706035.1,NA,PacBio RSII,yes
GCA_014706055.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,6294665,6644037,SAMN15881071,GCA_014706055.1,NA,PacBio RSII,yes
GCA_014706265.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,6103580,70588798,SAMN15881068,GCA_014706265.1,NA,PacBio RSII,yes
GCA_014706275.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,90,9/23/20 0:00,Uppsala University,1727421,4229628,SAMN15881067,GCA_014706275.1,NA,Illumina HiSeq,no
GCA_014706285.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,6103580,6103580,SAMN15881066,GCA_014706285.1,NA,PacBio RSII,yes
GCA_014706295.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,70,9/23/20 0:00,Uppsala University,7380351,74168823,SAMN15881065,GCA_014706295.1,NA,PacBio RSII,yes
GCA_014706395.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,30,9/23/20 0:00,Uppsala University,98550,4360585,SAMN15881069,GCA_014706395.1,NA,Illumina HiSeq,no
GCA_014805655.1,Passer montanus (Eurasian tree sparrow),Passer montanus,141,9/30/20 0:00,"Institute of Zoology, Chinese Academy of Sciences",1083540,11160574,SAMN07998528,GCA_014805655.1,NA,Illumina HiSeq,no
GCA_014839825.1,Picoides pubescens (Downy woodpecker),Picoides pubescens,62.43,9/30/20 0:00,Vertebrate Genomes Project,2189221,2189221,SAMN12629497,GCA_014839835.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_014839835.1,Picoides pubescens (Downy woodpecker),Picoides pubescens,62.43,9/30/20 0:00,Vertebrate Genomes Project,19150283,38715865,SAMN12629497,GCA_014839825.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_014839755.1,Sylvia borin (garden warbler),Sylvia borin,72.07,9/30/20 0:00,Vertebrate Genomes Project,31914676,72750092,SAMN12618613,GCA_014839755.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_014839765.1,Sylvia borin (garden warbler),Sylvia borin,72.07,9/30/20 0:00,Vertebrate Genomes Project,4687358,4687358,SAMN12618613,GCA_014839765.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015163975.1,Pyrrhura lepida (Pearly parakeet),Pyrrhura lepida,90,11/1/20 0:00,IRIDIAN GENOMES,70170,2531370,SAMN09681978,GCA_015163975.1,NA,Illumina,no
GCA_015220155.1,Falco rusticolus (gyrfalcon),Falco rusticolus,44.28,11/2/20 0:00,Vertebrate Genomes Project,76252,76252,SAMN12629496,GCA_015220155.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015220175.1,Pogoniulus pusillus (Red-fronted tinkerbird),Pogoniulus pusillus,165.44,11/2/20 0:00,Vertebrate Genomes Project,647387,647387,SAMN15098508,GCA_015220805.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015220805.1,Pogoniulus pusillus (Red-fronted tinkerbird),Pogoniulus pusillus,165.44,11/2/20 0:00,Vertebrate Genomes Project,16792259,33994490,SAMN15098508,GCA_015220175.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCF_015220075.1,Falco rusticolus (gyrfalcon),Falco rusticolus,44.28,11/3/20 0:00,Vertebrate Genomes Project,15323486,91094845,SAMN12629496,GCA_015220075.1,GCF_015220075.1,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819885.2,Catharus ustulatus (Swainson's thrush),Catharus ustulatus,60.58,11/4/20 0:00,Vertebrate Genomes Project,4908935,68462074,SAMN12618602,GCA_009819505.2,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015227895.1,Colaptes auratus (northern flicker),Colaptes auratus,34,11/4/20 0:00,Texas Tech University,826960,43947546,SAMN14482758,GCA_015227895.1,NA,Illumina NovaSeq; PacBio Sequel,yes
GCA_015227805.1,Hirundo rustica (Barn swallow),Hirundo rustica,51.15,11/4/20 0:00,Vertebrate Genomes Project,2794774,76187387,SAMN14675488,GCA_015227805.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015227815.1,Hirundo rustica (Barn swallow),Hirundo rustica,51.15,11/4/20 0:00,Vertebrate Genomes Project,992690,992690,SAMN14675488,GCA_015227815.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015227605.1,Phasianus colchicus (Ring-necked pheasant),Phasianus colchicus,80,11/4/20 0:00,Shanghai Jiao Tong University,1328716,59462841,SAMN12811331,GCA_015227605.1,NA,PacBio Sequel; PacBio RSII; Illumina,yes
GCA_009819505.2,Catharus ustulatus (Swainson's thrush),Catharus ustulatus,60.58,11/5/20 0:00,Vertebrate Genomes Project,1498444,1498444,SAMN12618602,GCA_009819885.2,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_015343275.1,Lycocorax pyrrhopterus obiensis (birds),Lycocorax pyrrhopterus,30,11/10/20 0:00,Uppsala University,97575,4748626,SAMN15881070,GCA_015343275.1,NA,Illumina HiSeq,no
GCA_015532645.1,Fringilla coelebs coelebs (chaffinch),Fringilla coelebs,274,11/17/20 0:00,Museo Nacional de Ciencias Naturales,67082,68853404,SAMN16636146,GCA_015532645.1,NA,Illumina HiSeq,no
GCF_015476345.1,Anas platyrhynchos (mallard),Anas platyrhynchos,143,11/23/20 0:00,Zhejiang University,5679408,76269206,SAMN15588841,GCA_015476345.1,GCF_015476345.1,PacBio RSII; PacBio Sequel,yes
GCA_003945595.2,Pipra filicauda (Wire-tailed manakin),Pipra filicauda,90,12/1/20 0:00,Smithsonian Institution,1677444,2585899,SAMN08774045,GCA_003945595.2,NA,Illumina HiSeq; PacBio,yes
GCA_015832205.1,Motacilla alba alba (white wagtail),Motacilla alba,12,12/8/20 0:00,Uppsala University,251690,251690,SAMN16093224,GCA_015832205.1,NA,PacBio Sequel II HiFi,yes
GCF_015832195.1,Motacilla alba alba (white wagtail),Motacilla alba,18,12/8/20 0:00,Uppsala University,8515530,72386170,SAMN16093224,GCA_015832195.1,GCF_015832195.1,PacBio Sequel II HiFi,yes
GCA_001746935.2,Setophaga coronata coronata (myrtle warbler),Setophaga coronata,100,12/8/20 0:00,Cornell University,43576,71386623,SAMN05224218,GCA_001746935.2,NA,Illumina,no
GCA_015883425.1,Lamprotornis superbus (birds),Lamprotornis superbus,98,12/9/20 0:00,Columbia University,150333,4390367,SAMN16294059,GCA_015883425.1,NA,Illumina HiSeq,no
GCA_003400225.2,Chlamydotis undulata undulata (Houbara bustard),Chlamydotis undulata,98,12/15/20 0:00,International Fund for Houbara Conservation,90121,3265787,SAMN09281226,GCA_003400225.2,NA,Illumina HiSeq,no
GCA_016128335.1,Dromaius novaehollandiae (emu),Dromaius novaehollandiae,70,12/15/20 0:00,Zhejiang University,14094718,82723677,SAMN15183959,GCA_016128335.1,NA,PacBio RSII,yes
