#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Pan troglodytes verus,Mammalia,,SAMD00067074,PRJNA16847,GCA_000002175.2, Chromosome,12.2633,36,chromosome Y:BA000047.1,,2,0,4/13/2006,33,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/175/GCA_000002175.2_CCYSCv1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/175/GCF_000002175.1_CCYSCv1
Felis catus,Mammalia,Cinnamon,SAMN02953640,PRJNA16726,GCA_000181335.4, Chromosome,2521.86,41.8806,chromosome A1:NC_018723.3/CM001378.3; chromosome A2:NC_018724.3/CM001379.3; chromosome A3:NC_018725.3/CM001380.3; chromosome B1:NC_018726.3/CM001381.3; chromosome B2:NC_018727.3/CM001382.3; chromosome B3:NC_018728.3/CM001383.3; chromosome B4:NC_018729.3/CM001384.3; chromosome C1:NC_018730.3/CM001385.3; chromosome C2:NC_018731.3/CM001386.3; chromosome D1:NC_018732.3/CM001387.3; chromosome D2:NC_018733.3/CM001388.3; chromosome D3:NC_018734.3/CM001389.3; chromosome D4:NC_018735.3/CM001390.3; chromosome E1:NC_018736.3/CM001391.3; chromosome E2:NC_018737.3/CM001392.3; chromosome E3:NC_018738.3/CM001393.3; chromosome F1:NC_018739.3/CM001394.3; chromosome F2:NC_018740.3/CM001395.3; chromosome X:NC_018741.3/CM001396.3; mitochondrion MT:NC_001700.1/,AANG04,4525,54726,4/27/2006,34,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/335/GCA_000181335.4_Felis_catus_9.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/335/GCF_000181335.3_Felis_catus_9.0
Myotis lucifugus,Mammalia,,SAMN02953645,PRJNA16951,GCA_000147115.1,Scaffold,2034.58,42.7,,AAPE02,11654,43106,6/1/2006,35,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/115/GCA_000147115.1_Myoluc2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/115/GCF_000147115.1_Myoluc2.0
Otolemur garnettii,Mammalia,467f Iridium,SAMN02981229,PRJNA16955,GCA_000181295.3,Scaffold,2519.72,41.5,,AAQR03,7793,32556,6/2/2006,36,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/295/GCA_000181295.3_OtoGar3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/295/GCF_000181295.1_OtoGar3
Ictidomys tridecemlineatus,Mammalia,,SAMN03000702,PRJNA13937,GCA_000181315.1,Contig,1913.37,39.7,,AAQQ01,797481,0,6/6/2006,37,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/315/GCA_000181315.1_ASM18131v1,
Tupaia belangeri,Mammalia,,SAMN03004381,PRJNA13971,GCA_000181375.1,Contig,2137.23,41.4,,AAPY01,841006,0,6/8/2006,38,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/375/GCA_000181375.1_ASM18137v1,
Pongo abelii,Mammalia,,SAMN02981221,PRJNA18245,GCA_000167535.2,Contig,2.35168,41.3,,AAGM01,3773,0,11/9/2006,39,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/535/GCA_000167535.2_ASM16753v2,
Gorilla gorilla,Mammalia,,SAMN02981220,PRJNA18247,GCA_000167515.2,Contig,3.0229,41,,AAGL01,4856,0,11/9/2006,40,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/515/GCA_000167515.2_ASM16751v2,
Macaca mulatta,Mammalia,,SAMN02981222,PRJNA18243,GCA_000167555.2,Contig,2.3113,41.1,,AAGN01,2715,0,11/9/2006,41,2006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/555/GCA_000167555.2_ASM16755v2,
Callorhinchus milii,Chondrichthyes,IMCB2004,SAMN00000800,PRJNA18361,GCA_000165045.2,Scaffold,974.499,42.5998,mitochondrion MT:NC_014285.1/,AAVX02,21204,28237,1/5/2007,42,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/045/GCA_000165045.2_Callorhinchus_milii-6.1.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/045/GCF_000165045.1_Callorhinchus_milii-6.1.3
Equus caballus,Mammalia,Twilight,SAMN02953672,PRJNA18661,GCA_000002305.1, Chromosome,2474.93,41.6,,AAWR02,9688,0,1/24/2007,43,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/305/GCA_000002305.1_EquCab2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/305/GCF_000002305.2_EquCab2.0
Anolis carolinensis,Squamata,,SAMN02981230,PRJNA18787,GCA_000090745.2, Chromosome,1799.14,40.8238,chromosome 1:NC_014776.1/CM000937.1; chromosome 2:NC_014777.1/CM000938.1; chromosome 3:NC_014778.1/CM000939.1; chromosome 4:NC_014779.1/CM000940.1; chromosome 5:NC_014780.1/CM000941.1; chromosome 6:NC_014781.1/CM000942.1; linkage group a:NC_014782.1/CM000943.1; linkage group b:NC_014783.1/CM000944.1; linkage group c:NC_014784.1/CM000945.1; linkage group d:NC_014785.1/CM000946.1; linkage group f:NC_014786.1/CM000947.1; linkage group g:NC_014787.1/CM000948.1; linkage group h:NC_014788.1/CM000949.1; mitochondrion MT:EU747728.2,AAWZ02,6646,34827,2/15/2007,44,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/745/GCA_000090745.2_AnoCar2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.1_AnoCar2.0
Oryzias latipes,Osteichthyes,HNI,SAMD00036522,PRJNA19569,GCA_000151825.1,Scaffold,662.701,41,,BAAE01,82496,0,4/2/2007,45,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/825/GCA_000151825.1_ASM15182v1,
Rattus norvegicus,Mammalia,SHRSP/Bbb,SAMN02981232,PRJNA18689,GCA_000180715.1,Scaffold,21.5875,43.4,,AAXM01,23012,0,4/10/2007,46,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/715/GCA_000180715.1_ASM18071v1,
Rattus norvegicus,Mammalia,WKY/Bbb,SAMN02981231,PRJNA18687,GCA_000180795.1,Scaffold,27.2481,44,,AAXL01,31928,0,4/10/2007,47,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/795/GCA_000180795.1_ASM18079v1,
Rattus norvegicus,Mammalia,wild rat 1,SAMN02981234,PRJNA18695,GCA_000180775.1,Contig,22.3969,42.5,,AAXO01,27472,0,4/10/2007,48,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/775/GCA_000180775.1_ASM18077v1,
Rattus norvegicus,Mammalia,GK/Ox,SAMN02981235,PRJNA18693,GCA_000181035.1,Contig,50.2245,41.3,,AAXP01,73497,0,4/10/2007,49,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/035/GCA_000181035.1_ASM18103v1,
Rattus norvegicus,Mammalia,SS/JrNhsd,SAMN02981233,PRJNA18691,GCA_000181015.1,Scaffold,48.7205,42.1,,AAXN01,72867,0,4/10/2007,50,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/015/GCA_000181015.1_ASM18101v1,
Homo sapiens,Mammalia,,SAMN02981236,PRJNA19621,GCA_000002125.2, Chromosome,2844,40.3433,chromosome 1:CM000462.1; chromosome 2:CM000463.1; chromosome 3:CM000464.1; chromosome 4:CM000465.1; chromosome 5:CM000466.1; chromosome 6:CM000467.1; chromosome 7:CM000468.1; chromosome 8:CM000469.1; chromosome 9:CM000470.1; chromosome 10:CM000471.1; chromosome 11:CM000472.1; chromosome 12:CM000473.1; chromosome 13:CM000474.1; chromosome 14:CM000475.1; chromosome 15:CM000476.1; chromosome 16:CM000477.1; chromosome 17:CM000478.1; chromosome 18:CM000479.1; chromosome 19:CM000480.1; chromosome 20:CM000481.1; chromosome 21:CM000482.1; chromosome 22:CM000483.1; chromosome X:CM000484.1; chromosome Y:CM000485.1,ABBA01,4530,0,5/22/2007,51,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/125/GCA_000002125.2_HuRef,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/125/GCF_000002125.1_HuRef
Homo sapiens,Mammalia,,SAMN02981236,PRJNA19621,GCA_000252825.1, Chromosome,6503.44,40.6305,chromosome 1:CM000491.1; chromosome 1:CM000462.1; chromosome 2:CM000492.1; chromosome 2:CM000463.1; chromosome 3:CM000464.1; chromosome 3:CM000493.1; chromosome 4:CM000494.1; chromosome 4:CM000465.1; chromosome 5:CM000466.1; chromosome 5:CM000495.1; chromosome 6:CM000496.1; chromosome 6:CM000467.1; chromosome 7:CM000468.1; chromosome 7:CM000497.1; chromosome 8:CM000469.1; chromosome 8:CM000498.1; chromosome 9:CM000499.1; chromosome 9:CM000470.1; chromosome 10:CM000471.1; chromosome 10:CM000500.1; chromosome 11:CM000472.1; chromosome 11:CM000501.1; chromosome 12:CM000473.1; chromosome 12:CM000502.1; chromosome 13:CM000503.1; chromosome 13:CM000474.1; chromosome 14:CM000504.1; chromosome 14:CM000475.1; chromosome 15:CM000505.1; chromosome 15:CM000476.1; chromosome 16:CM000506.1; chromosome 16:CM000477.1; chromosome 17:CM000507.1; chromosome 17:CM000478.1; chromosome 18:CM000479.1; chromosome 18:CM000508.1; chromosome 19:CM000480.1; chromosome 19:CM000509.1; chromosome 20:CM000481.1; chromosome 20:CM000510.1; chromosome 21:CM000482.1; chromosome 21:CM000511.1; chromosome 22:CM000512.1; chromosome 22:CM000483.1; chromosome X:CM000484.1; chromosome X:CM000513.1; chromosome Y:CM000485.1; chromosome Y:CM000514.1,ABBA01,375286,0,5/22/2007,52,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/252/825/GCA_000252825.1_HuRef_diploid,
Equus caballus,Mammalia,Twilight,SAMN02953672,PRJNA421018,GCA_002863925.1, Chromosome,2506.97,41.5271,chromosome 1:NC_009144.3/CM009148.1; chromosome 2:NC_009145.3/CM009149.1; chromosome 3:NC_009146.3/CM009150.1; chromosome 4:NC_009147.3/CM009151.1; chromosome 5:NC_009148.3/CM009152.1; chromosome 6:NC_009149.3/CM009153.1; chromosome 7:NC_009150.3/CM009154.1; chromosome 8:NC_009151.3/CM009155.1; chromosome 9:NC_009152.3/CM009156.1; chromosome 10:NC_009153.3/CM009157.1; chromosome 11:NC_009154.3/CM009158.1; chromosome 12:NC_009155.3/CM009159.1; chromosome 13:NC_009156.3/CM009160.1; chromosome 14:NC_009157.3/CM009161.1; chromosome 15:NC_009158.3/CM009162.1; chromosome 16:NC_009159.3/CM009163.1; chromosome 17:NC_009160.3/CM009164.1; chromosome 18:NC_009161.3/CM009165.1; chromosome 19:NC_009162.3/CM009166.1; chromosome 20:NC_009163.3/CM009167.1; chromosome 21:NC_009164.3/CM009168.1; chromosome 22:NC_009165.3/CM009169.1; chromosome 23:NC_009166.3/CM009170.1; chromosome 24:NC_009167.3/CM009171.1; chromosome 25:NC_009168.3/CM009172.1; chromosome 26:NC_009169.3/CM009173.1; chromosome 27:NC_009170.3/CM009174.1; chromosome 28:NC_009171.3/CM009175.1; chromosome 29:NC_009172.3/CM009176.1; chromosome 30:NC_009173.3/CM009177.1; chromosome 31:NC_009174.3/CM009178.1; chromosome X:NC_009175.3/CM009179.1; mitochondrion MT:NC_001640.1/,PJAA01,4701,60900,6/26/2007,53,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/925/GCA_002863925.1_EquCab3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/925/GCF_002863925.1_EquCab3.0
Microcebus murinus,Mammalia,mixed,SAMN06275470,PRJNA19967,GCA_000165445.3, Chromosome,2487.41,41.3423,chromosome 1:NC_033660.1/CM007661.1; chromosome 2:NC_033661.1/CM007662.1; chromosome 3:NC_033662.1/CM007663.1; chromosome 4:NC_033663.1/CM007664.1; chromosome 5:NC_033664.1/CM007665.1; chromosome 6:NC_033665.1/CM007666.1; chromosome 7:NC_033666.1/CM007667.1; chromosome 8:NC_033667.1/CM007668.1; chromosome 9:NC_033668.1/CM007669.1; chromosome 10:NC_033669.1/CM007670.1; chromosome 11:NC_033670.1/CM007671.1; chromosome 12:NC_033671.1/CM007672.1; chromosome 13:NC_033672.1/CM007673.1; chromosome 14:NC_033673.1/CM007674.1; chromosome 15:NC_033674.1/CM007675.1; chromosome 16:NC_033675.1/CM007676.1; chromosome 17:NC_033676.1/CM007677.1; chromosome 18:NC_033677.1/CM007678.1; chromosome 19:NC_033678.1/CM007679.1; chromosome 20:NC_033679.1/CM007680.1; chromosome 21:NC_033680.1/CM007681.1; chromosome 22:NC_033681.1/CM007682.1; chromosome 23:NC_033682.1/CM007683.1; chromosome 24:NC_033683.1/CM007684.1; chromosome 25:NC_033684.1/CM007685.1; chromosome 26:NC_033685.1/CM007686.1; chromosome 27:NC_033686.1/CM007687.1; chromosome 28:NC_033687.1/CM007688.1; chromosome 29:NC_033688.1/CM007689.1; chromosome 30:NC_033689.1/CM007690.1; chromosome 31:NC_033690.1/CM007691.1; chromosome 32:NC_033691.1/CM007692.1; chromosome X:NC_033692.1/CM007693.1; mitochondrion MT:NC_028718.1/,ABDC03,7678,59023,7/20/2007,54,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/445/GCA_000165445.3_Mmur_3.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/445/GCF_000165445.2_Mmur_3.0
Ochotona princeps,Mammalia,NMMNH268,SAMN03000703,PRJNA19235,GCA_000164825.1,Scaffold,3445.78,46.4,,AAYZ01,187558,0,7/25/2007,55,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/825/GCA_000164825.1_ASM16482v1,
Pongo abelii,Mammalia,ISIS 71,SAMN02981238,PRJNA20869,GCA_000001545.3, Chromosome,3441.24,41.4979,chromosome 1:CM000550.1; chromosome 2A:CM000551.1; chromosome 2B:CM000552.1; chromosome 3:CM000553.1; chromosome 4:CM000554.1; chromosome 5:CM000555.1; chromosome 6:CM000556.1; chromosome 7:CM000557.1; chromosome 8:CM000558.1; chromosome 9:CM000559.1; chromosome 10:CM000560.1; chromosome 11:CM000561.1; chromosome 12:CM000562.1; chromosome 13:CM000563.1; chromosome 14:CM000564.1; chromosome 15:CM000565.1; chromosome 16:CM000566.1; chromosome 17:CM000567.1; chromosome 18:CM000568.1; chromosome 19:CM000569.1; chromosome 20:CM000570.1; chromosome 21:CM000571.1; chromosome 22:CM000572.1; chromosome X:CM000573.1,ABGA01,79345,0,11/14/2007,56,2007,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/545/GCA_000001545.3_P_pygmaeus_2.0.2,
Homo sapiens,Mammalia,,SAMN00001698,PRJNA28335,GCA_000181135.1,Contig,41.6688,40.9,,ABKV01,169336,0,4/17/2008,57,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/135/GCA_000181135.1_Watson-partial,
Mchenga conophoros,Osteichthyes,Otter Point,SAMN02743801,PRJNA29477,GCA_000150855.1,Scaffold,73.4256,41.8,,ABPJ01,61923,0,6/20/2008,58,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/855/GCA_000150855.1_ASM15085v1,
Labeotropheus fuelleborni,Osteichthyes,Domwe Island,SAMN02743802,PRJNA29479,GCA_000150875.1,Scaffold,70.8584,42.1,,ABPK01,58245,0,6/20/2008,59,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/875/GCA_000150875.1_ASM15087v1,
Melanochromis auratus,Osteichthyes,Domwe Island,SAMN02743803,PRJNA29481,GCA_000150895.1,Scaffold,68.2386,41.5,,ABPL01,63297,0,6/20/2008,60,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/895/GCA_000150895.1_ASM15089v1,
Maylandia zebra,Osteichthyes,Mazinzi Reef,SAMN02743804,PRJNA29483,GCA_000150915.1,Scaffold,79.1683,42.4,,ABPM01,65094,0,6/21/2008,61,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/915/GCA_000150915.1_ASM15091v1,
Rhamphochromis esox,Osteichthyes,Otter Point,SAMN02743805,PRJNA29485,GCA_000150935.1,Scaffold,71.2951,42.3,,ABPN01,55751,0,6/23/2008,62,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/935/GCA_000150935.1_ASM15093v1,
Sus scrofa,Mammalia,TJ Tabasco,SAMN02953785,PRJNA13421,GCA_000003025.6, Chromosome,2501.91,41.971,chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/,AEMK02,706,63577,7/11/2008,63,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/025/GCA_000003025.6_Sscrofa11.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1
Homo sapiens,Mammalia,,SAMN02981236,PRJNA19621,GCA_000212995.1, Chromosome,3251.72,40.8848,chromosome 1:CM000491.1; chromosome 2:CM000492.1; chromosome 3:CM000493.1; chromosome 4:CM000494.1; chromosome 5:CM000495.1; chromosome 6:CM000496.1; chromosome 7:CM000497.1; chromosome 8:CM000498.1; chromosome 9:CM000499.1; chromosome 10:CM000500.1; chromosome 11:CM000501.1; chromosome 12:CM000502.1; chromosome 13:CM000503.1; chromosome 14:CM000504.1; chromosome 15:CM000505.1; chromosome 16:CM000506.1; chromosome 17:CM000507.1; chromosome 18:CM000508.1; chromosome 19:CM000509.1; chromosome 20:CM000510.1; chromosome 21:CM000511.1; chromosome 22:CM000512.1; chromosome X:CM000513.1; chromosome Y:CM000514.1,ABSL01,187643,0,8/5/2008,64,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/995/GCA_000212995.1_HuRefPrime,
Taeniopygia guttata,Aves,Black17,SAMN02981239,PRJNA17289,GCA_000151805.2, Chromosome,1232.14,41.1172,chromosome 1:CM000515.1; chromosome 1A:CM000516.1; chromosome 1B:CM000517.1; chromosome 2:CM000518.1; chromosome 3:CM000519.1; chromosome 4:CM000520.1; chromosome 4A:CM000521.1; chromosome 5:CM000522.1; chromosome 6:CM000523.1; chromosome 7:CM000524.1; chromosome 8:CM000525.1; chromosome 9:CM000526.1; chromosome 10:CM000527.1; chromosome 11:CM000528.1; chromosome 12:CM000529.1; chromosome 13:CM000530.1; chromosome 14:CM000531.1; chromosome 15:CM000532.1; chromosome 16:CM000533.1; chromosome 17:CM000534.1; chromosome 18:CM000535.1; chromosome 19:CM000536.1; chromosome 20:CM000537.1; chromosome 21:CM000538.1; chromosome 22:CM000539.1; chromosome 23:CM000540.1; chromosome 24:CM000541.1; chromosome 25:CM000542.1; chromosome 26:CM000543.1; chromosome 27:CM000544.1; chromosome 28:CM000545.1; chromosome LGE22:CM000549.1; chromosome LG2:CM000547.1; chromosome LG5:CM000548.1; chromosome Z:CM000546.1,ABQF01,37422,0,9/3/2008,65,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/805/GCA_000151805.2_Taeniopygia_guttata-3.2.4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/805/GCF_000151805.1_Taeniopygia_guttata-3.2.4
Pteropus vampyrus,Mammalia,Shadow,SAMN02894360,PRJNA20325,GCA_000151845.2,Scaffold,2198.28,40.5,,ABRP02,36094,43630,9/12/2008,66,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/845/GCA_000151845.2_Pvam_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/845/GCF_000151845.1_Pvam_2.0
Choloepus hoffmanni,Mammalia,OR478-KB4484,SAMN02146716,PRJNA30809,GCA_000164785.2,Scaffold,3286.01,40,,ABVD02,269084,0,9/15/2008,67,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/785/GCA_000164785.2_C_hoffmanni-2.0.1,
Dipodomys ordii,Mammalia,6190,SAMN02900551,PRJNA20385,GCA_000151885.2,Scaffold,2236.37,42.6,,ABRO02,65193,29351,9/18/2008,68,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/885/GCA_000151885.2_Dord_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/885/GCF_000151885.1_Dord_2.0
Procavia capensis,Mammalia,Dallas Zoo Isis #01D731,SAMN02894304,PRJNA13972,GCA_000152225.2,Scaffold,3602.18,41.8,,ABRQ02,65694,0,9/19/2008,69,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/225/GCA_000152225.2_Pcap_2.0,
Tursiops truncatus,Mammalia,,SAMN00000070,PRJNA20367,GCA_000151865.3,Scaffold,2551.42,42.1,,ABRN02,240558,0,9/23/2008,70,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/865/GCA_000151865.3_Ttru_1.4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/865/GCF_000151865.2_Ttru_1.4
Vicugna pacos,Mammalia,Carlotta (AHFN-0088),SAMN01096418,PRJNA544883,GCA_000164845.4,Scaffold,2119.62,41.8,mitochondrion MT:NC_002504.1/,ABRR03,77390,44159,9/24/2008,71,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/845/GCA_000164845.4_VicPac3.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/845/GCF_000164845.3_VicPac3.1
Gorilla gorilla gorilla,Mammalia,,SAMEA2272491,PRJEA31265,GCA_000151905.3, Chromosome,3063.36,41.1758,chromosome 1:FR853080.2; chromosome 2A:FR853094.2; chromosome 2B:FR853095.2; chromosome 3:FR853096.2; chromosome 4:FR853097.2; chromosome 5:FR853098.3; chromosome 6:FR853099.2; chromosome 7:FR853100.2; chromosome 8:FR853101.2; chromosome 9:FR853102.2; chromosome 10:FR853081.2; chromosome 11:FR853082.2; chromosome 12:FR853083.2; chromosome 13:FR853084.2; chromosome 14:FR853085.2; chromosome 15:FR853086.2; chromosome 16:FR853087.2; chromosome 17:FR853088.3; chromosome 18:FR853089.2; chromosome 19:FR853090.2; chromosome 20:FR853091.2; chromosome 21:FR853092.2; chromosome 22:FR853093.2; chromosome X:FR853103.2; mitochondrion MT:NC_011120.1/LN611626.1,CABD03,40730,13,10/19/2008,72,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/905/GCA_000151905.3_gorGor4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/905/GCF_000151905.2_gorGor4
Notamacropus eugenii,Mammalia,,NA,PRJNA12587,GCA_000004035.1,Scaffold,3075.18,40.4,,ABQO01,277711,0,11/26/2008,73,2008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/035/GCA_000004035.1_Meug_1.1,
Felis catus,Mammalia,,SAMN03000705,PRJNA32759,GCA_000003115.1, Chromosome,3160.29,45.31,chromosome A1:CM000695.1; chromosome A2:CM000696.1; chromosome A3:CM000697.1; chromosome B1:CM000698.1; chromosome B2:CM000699.1; chromosome B3:CM000700.1; chromosome B4:CM000701.1; chromosome C1:CM000702.1; chromosome C2:CM000703.1; chromosome D1:CM000704.1; chromosome D2:CM000705.1; chromosome D3:CM000706.1; chromosome D4:CM000707.1; chromosome E1:CM000708.1; chromosome E2:CM000709.1; chromosome E3:CM000710.1; chromosome F1:CM000711.1; chromosome F2:CM000712.1; chromosome X:CM000713.1,ACBE01,104434,0,1/14/2009,74,2009,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/115/GCA_000003115.1_catChrV17e,
Nothobranchius kuhntae,Osteichthyes,,SAMN02981241,PRJNA33401,GCA_000173855.1,Scaffold,5.23461,44.8,,ACDA01,5934,0,3/17/2009,75,2009,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/855/GCA_000173855.1_ASM17385v1,
Nothobranchius furzeri,Osteichthyes,GRZ,SAMN00000222,PRJNA29535,GCA_000182035.2,Scaffold,113.234,45.2,,ABLO02,119834,0,3/17/2009,76,2009,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/035/GCA_000182035.2_ASM18203v2,
Nothobranchius furzeri,Osteichthyes,MZM-0403,SAMN02981240,PRJNA33315,GCA_000182215.1,Scaffold,5.25286,44.3,,ACCZ01,5617,0,3/17/2009,77,2009,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/215/GCA_000182215.1_ASM18221v1,
Bos taurus,Mammalia,,SAMN02898106,PRJNA32899,GCA_000003055.5, Chromosome,2670.14,41.5001,chromosome X:GK000030.2; chromosome 1:GK000001.2; chromosome 2:GK000002.2; chromosome 3:GK000003.2; chromosome 4:GK000004.2; chromosome 5:GK000005.2; chromosome 6:GK000006.2; chromosome 7:GK000007.2; chromosome 8:GK000008.2; chromosome 9:GK000009.2; chromosome 10:GK000010.2; chromosome 11:GK000011.2; chromosome 12:GK000012.2; chromosome 13:GK000013.2; chromosome 14:GK000014.2; chromosome 15:GK000015.2; chromosome 16:GK000016.2; chromosome 17:GK000017.2; chromosome 18:GK000018.2; chromosome 19:GK000019.2; chromosome 20:GK000020.2; chromosome 21:GK000021.2; chromosome 22:GK000022.2; chromosome 23:GK000023.2; chromosome 24:GK000024.2; chromosome 25:GK000025.2; chromosome 26:GK000026.2; chromosome 27:GK000027.2; chromosome 28:GK000028.2; chromosome 29:GK000029.2,DAAA02,6337,21299,4/24/2009,78,2009,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/055/GCA_000003055.5_Bos_taurus_UMD_3.1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/055/GCF_000003055.6_Bos_taurus_UMD_3.1.1
Bubalus bubalis,Mammalia,Manek,SAMN00004269,PRJNA40113,GCA_000180995.3,Scaffold,3759.98,32.3,,ACZF03,117845,0,10/19/2009,79,2009,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/995/GCA_000180995.3_Bubalus_bubalis_Jaffrabadi_v3.0,
